Community,AB948,AB1235,AB1286,AB947,AB1288,AB1097,AB1239,AB1290
0,0.09466269927820403,0.049905979970529035,-0.05449576290408353,0.026306903964806616,-0.15648399597129792,0.07053073673398735,0.0031606524994407525,-0.07315180846648117
1,-0.06359256437611549,-0.2412917420254713,-0.1771450087454866,-0.14953275502402513,-0.2851493293020413,-0.16669224940164415,-0.3237814828665238,-0.19888814127364346
2,-0.44905242798702055,-0.2968851476772865,-0.4921638330857788,-0.4569185864891872,-0.4752917767559204,-0.45942145745761565,-0.5250623689931976,-0.4774186018434227
3,-0.28880186512093786,-0.13011076454728304,-0.2573032309570449,-0.2979435827678659,-0.21580834671050425,-0.18386125726800115,-0.09884120244535834,-0.11073395375961465
4,-0.028497131735039833,0.06587405391873791,0.008302233588271276,-0.14279717689319268,0.08036405965793432,-0.024340050504500315,-0.04397118646209108,0.18140287386749243
5,-0.09144526021943326,0.09406886407901364,-0.0029561490185604023,-0.09025228509940757,0.03390966884309193,-0.033761342989037955,0.012154150700537032,0.12923571800150097
6,-0.23472774658635528,-0.11693587881681676,-0.13682293364248432,-0.2602549720205278,-0.1322248619285631,-0.09251854789626913,0.12765226798803234,-0.06973571727137746
7,-0.30816196499377596,-0.21114491306124084,-0.4328066572399223,-0.3511338626115516,-0.37313313560187683,-0.18964597906340744,-0.16248467666838154,-0.2757482963068414
8,-0.4179552200823409,-0.30374910624621093,-0.5354951816308523,-0.3494167780910426,-0.4719467828498695,-0.46451056153294285,-0.41853439334884496,-0.44409785098085236
9,-0.2403014144246972,-0.20080628970422953,-0.36279378517091554,-0.25686459000703726,-0.3569658464738284,-0.2552144764282476,-0.24659545476810832,-0.31154000111062896
